company_id,cluster_id,cluster_name,distance_from_centroid
ABB,1,Core Quality Companies,0.4337175555233933
ADANIENSOL,1,Core Quality Companies,1.7966086791738891
ADANIENT,1,Core Quality Companies,1.107403302773179
ADANIGREEN,2,Leveraged Growth,2.728369884656963
ADANIPORTS,0,High-Margin Compounders,1.078631377507655
ADANIPOWER,1,Core Quality Companies,1.4318809825988177
AMBUJACEM,1,Core Quality Companies,1.0263025484017705
APOLLOHOSP,1,Core Quality Companies,0.8587916736704245
ASIANPAINT,1,Core Quality Companies,0.15471929010617871
ATGL,1,Core Quality Companies,1.7856587850078984
AXISBANK,2,Leveraged Growth,0.8512341928388439
BAJAJ-AUTO,1,Core Quality Companies,0.38400822138461926
BAJAJFINSV,2,Leveraged Growth,1.191290690866554
BAJAJHLDNG,0,High-Margin Compounders,2.2280066754425865
BAJFINANCE,2,Leveraged Growth,1.7015406237564004
BANKBARODA,2,Leveraged Growth,1.795505122908648
BEL,3,High-ROE Outliers,1.061845214274471
BHARTIARTL,0,High-Margin Compounders,1.2500085937510603
BHEL,1,Core Quality Companies,2.0879900689670916
BOSCHLTD,1,Core Quality Companies,0.9756600015211556
BPCL,1,Core Quality Companies,1.0093560598445608
BRITANNIA,1,Core Quality Companies,0.47229011805187704
CANBK,2,Leveraged Growth,2.6830752977707513
CHOLAFIN,2,Leveraged Growth,1.002702524767183
CIPLA,0,High-Margin Compounders,0.889378996285189
COALINDIA,0,High-Margin Compounders,1.1871779950331978
DABUR,1,Core Quality Companies,0.6632186099981964
DIVISLAB,1,Core Quality Companies,0.5460286573187867
DLF,1,Core Quality Companies,2.34447083679414
DMART,1,Core Quality Companies,1.4238487960188517
DRREDDY,1,Core Quality Companies,1.0552125398592147
EICHERMOT,1,Core Quality Companies,0.9989830091141724
GAIL,4,Cash-Flow Accelerators,1.1286368846507422
GODREJCP,1,Core Quality Companies,0.8076147040139204
GRASIM,1,Core Quality Companies,0.42241494727302864
HAL,3,High-ROE Outliers,1.061845214274471
HAVELLS,1,Core Quality Companies,0.5140289373351472
HCLTECH,1,Core Quality Companies,2.1191723344654907
HDFCBANK,2,Leveraged Growth,0.6898469474671791
HDFCLIFE,0,High-Margin Compounders,1.214228716111441
HEROMOTOCO,0,High-Margin Compounders,1.4841023348071585
HINDALCO,0,High-Margin Compounders,0.577804108258397
HINDUNILVR,0,High-Margin Compounders,0.6920598746524123
ICICIBANK,2,Leveraged Growth,0.8022479419624199
ICICIGI,0,High-Margin Compounders,1.6933633155245793
ICICIPRULI,0,High-Margin Compounders,0.9612100805349487
INDIGO,0,High-Margin Compounders,1.5248287683020882
INDUSINDBK,2,Leveraged Growth,0.7292464712231899
INFY,1,Core Quality Companies,0.32396275813235403
IOC,1,Core Quality Companies,1.0974429845909084
IRCTC,1,Core Quality Companies,0.9978070997327504
IRFC,2,Leveraged Growth,1.7968604849803236
ITC,1,Core Quality Companies,0.8552645031486292
JINDALSTEL,1,Core Quality Companies,1.4528815549255079
JIOFIN,0,High-Margin Compounders,0.8060561978427448
JSWENERGY,1,Core Quality Companies,1.650797790186757
JSWSTEEL,1,Core Quality Companies,0.41320526905834126
KOTAKBANK,0,High-Margin Compounders,1.5016403992184684
LICI,1,Core Quality Companies,1.5481218977664266
LODHA,1,Core Quality Companies,1.7058667971917925
LT,1,Core Quality Companies,0.2914686171139313
LTIM,1,Core Quality Companies,2.3886208499950405
M&M,1,Core Quality Companies,0.8459490422874933
MARUTI,1,Core Quality Companies,0.36612449826866433
MOTHERSON,1,Core Quality Companies,0.988490581980356
NAUKRI,1,Core Quality Companies,0.8174528961408504
NESTLEIND,1,Core Quality Companies,0.45621429722849305
NHPC,4,Cash-Flow Accelerators,1.1286368846507422
NTPC,1,Core Quality Companies,0.8554076416112811
ONGC,1,Core Quality Companies,0.6094710835648782
PFC,2,Leveraged Growth,1.3065085690319678
PIDILITIND,1,Core Quality Companies,0.4658972370304735
PNB,1,Core Quality Companies,1.5684543687383736
POWERGRID,0,High-Margin Compounders,1.2254126092255329
RECLTD,2,Leveraged Growth,1.9496634767315277
RELIANCE,1,Core Quality Companies,0.37914159305394557
SBILIFE,1,Core Quality Companies,1.6919811708588317
SBIN,1,Core Quality Companies,1.2055658360294832
SHREECEM,1,Core Quality Companies,0.45025790425830503
SHRIRAMFIN,2,Leveraged Growth,1.503470434458932
SIEMENS,1,Core Quality Companies,0.48147580181720145
SUNPHARMA,1,Core Quality Companies,0.6164204728913157
TATACONSUM,1,Core Quality Companies,1.5271592389066848
TATAMOTORS,1,Core Quality Companies,0.6759865883723739
TATAPOWER,1,Core Quality Companies,0.8194264301865292
TATASTEEL,1,Core Quality Companies,0.8170204213448701
TCS,1,Core Quality Companies,0.39387382064304377
TECHM,1,Core Quality Companies,0.6415809013466582
TITAN,1,Core Quality Companies,1.4106191209647845
TORNTPHARM,1,Core Quality Companies,0.8115114180468832
TRENT,1,Core Quality Companies,3.673825057269387
TVSMOTOR,1,Core Quality Companies,0.6804567259117061
