company_id,type,rule_id,text,confidence_pct
ABB,con,C02,FCF negative for 3 consecutive years,90
ABB,pro,P01,ROE >20% sustained for 3+ years,83
ABB,pro,P05,OPM >25% in the latest year,71
ABB,pro,P06,PAT CAGR >20% over 5 years,74
ABB,pro,P07,ICR >10 or Debt Free,95
ABB,pro,P09,EPS CAGR >15% over 5 years,83
ABB,pro,P10,ROE improving for 3 consecutive years,85
ABB,pro,P12,Assets growing while borrowings are declining,85
ADANIENSOL,con,C02,FCF negative for 3 consecutive years,90
ADANIENSOL,con,C03,OPM declining for 3 consecutive years,85
ADANIENSOL,con,C05,Revenue is declining year over year,80
ADANIENSOL,con,C08,D/E rising for 3 consecutive years,85
ADANIENSOL,con,C10,ROCE <10%,77
ADANIENSOL,con,C11,Net Debt >3x EBITDA,75
ADANIENSOL,pro,P04,Revenue CAGR >15% over 5 years,85
ADANIENSOL,pro,P05,OPM >25% in the latest year,76
ADANIENSOL,pro,P10,ROE improving for 3 consecutive years,85
ADANIENSOL,pro,P11,"Revenue CAGR exceeds PAT CAGR, indicating operating leverage",80
ADANIENSOL,pro,P12,Assets growing while borrowings are declining,85
ADANIENT,con,C05,Revenue is declining year over year,80
ADANIENT,con,C08,D/E rising for 3 consecutive years,85
ADANIENT,con,C09,EPS declining for 3 consecutive years,85
ADANIENT,pro,P04,Revenue CAGR >15% over 5 years,78
ADANIENT,pro,P06,PAT CAGR >20% over 5 years,95
ADANIENT,pro,P09,EPS CAGR >15% over 5 years,95
ADANIENT,pro,P10,ROE improving for 3 consecutive years,85
ADANIENT,pro,P12,Assets growing while borrowings are declining,85
ADANIGREEN,con,C01,D/E >2 for a non-financial company,92
ADANIGREEN,con,C02,FCF negative for 3 consecutive years,90
ADANIGREEN,con,C03,OPM declining for 3 consecutive years,85
ADANIGREEN,con,C08,D/E rising for 3 consecutive years,85
ADANIGREEN,con,C09,EPS declining for 3 consecutive years,85
ADANIGREEN,pro,P04,Revenue CAGR >15% over 5 years,95
ADANIGREEN,pro,P05,OPM >25% in the latest year,95
ADANIGREEN,pro,P10,ROE improving for 3 consecutive years,85
ADANIPORTS,con,C03,OPM declining for 3 consecutive years,85
ADANIPORTS,con,C05,Revenue is declining year over year,80
ADANIPORTS,con,C08,D/E rising for 3 consecutive years,85
ADANIPORTS,pro,P01,ROE >20% sustained for 3+ years,70
ADANIPORTS,pro,P04,Revenue CAGR >15% over 5 years,79
ADANIPORTS,pro,P05,OPM >25% in the latest year,95
ADANIPORTS,pro,P09,EPS CAGR >15% over 5 years,76
ADANIPORTS,pro,P10,ROE improving for 3 consecutive years,85
ADANIPORTS,pro,P11,"Revenue CAGR exceeds PAT CAGR, indicating operating leverage",80
ADANIPORTS,pro,P12,Assets growing while borrowings are declining,85
ADANIPOWER,con,C05,Revenue is declining year over year,80
ADANIPOWER,con,C08,D/E rising for 3 consecutive years,85
ADANIPOWER,pro,P01,ROE >20% sustained for 3+ years,72
ADANIPOWER,pro,P02,FCF positive for 5+ consecutive years,90
ADANIPOWER,pro,P04,Revenue CAGR >15% over 5 years,75
ADANIPOWER,pro,P05,OPM >25% in the latest year,86
ADANIPOWER,pro,P10,ROE improving for 3 consecutive years,85
ADANIPOWER,pro,P12,Assets growing while borrowings are declining,85
AMBUJACEM,con,C03,OPM declining for 3 consecutive years,85
AMBUJACEM,con,C05,Revenue is declining year over year,80
AMBUJACEM,con,C12,Revenue CAGR <5% over 5 years,76
AMBUJACEM,pro,P02,FCF positive for 5+ consecutive years,90
AMBUJACEM,pro,P07,ICR >10 or Debt Free,90
AMBUJACEM,pro,P10,ROE improving for 3 consecutive years,85
AMBUJACEM,pro,P12,Assets growing while borrowings are declining,85
APOLLOHOSP,con,C02,FCF negative for 3 consecutive years,90
APOLLOHOSP,con,C03,OPM declining for 3 consecutive years,85
APOLLOHOSP,con,C05,Revenue is declining year over year,80
APOLLOHOSP,con,C08,D/E rising for 3 consecutive years,85
APOLLOHOSP,con,C09,EPS declining for 3 consecutive years,85
APOLLOHOSP,con,C11,Net Debt >3x EBITDA,78
APOLLOHOSP,pro,P02,FCF positive for 5+ consecutive years,90
APOLLOHOSP,pro,P04,Revenue CAGR >15% over 5 years,72
APOLLOHOSP,pro,P06,PAT CAGR >20% over 5 years,95
APOLLOHOSP,pro,P08,Dividend Yield >2% with positive FCF,76
APOLLOHOSP,pro,P09,EPS CAGR >15% over 5 years,95
APOLLOHOSP,pro,P10,ROE improving for 3 consecutive years,85
APOLLOHOSP,pro,P12,Assets growing while borrowings are declining,85
ASIANPAINT,con,C08,D/E rising for 3 consecutive years,85
ASIANPAINT,con,C11,Net Debt >3x EBITDA,77
ASIANPAINT,pro,P01,ROE >20% sustained for 3+ years,75
ASIANPAINT,pro,P02,FCF positive for 5+ consecutive years,90
ASIANPAINT,pro,P07,ICR >10 or Debt Free,95
ASIANPAINT,pro,P08,Dividend Yield >2% with positive FCF,72
ASIANPAINT,pro,P09,EPS CAGR >15% over 5 years,73
ASIANPAINT,pro,P12,Assets growing while borrowings are declining,85
ATGL,con,C02,FCF negative for 3 consecutive years,90
ATGL,con,C03,OPM declining for 3 consecutive years,85
ATGL,con,C05,Revenue is declining year over year,80
ATGL,con,C08,D/E rising for 3 consecutive years,85
ATGL,con,C11,Net Debt >3x EBITDA,89
ATGL,pro,P01,ROE >20% sustained for 3+ years,70
ATGL,pro,P04,Revenue CAGR >15% over 5 years,82
ATGL,pro,P06,PAT CAGR >20% over 5 years,75
ATGL,pro,P07,ICR >10 or Debt Free,72
ATGL,pro,P09,EPS CAGR >15% over 5 years,84
ATGL,pro,P10,ROE improving for 3 consecutive years,85
AXISBANK,con,C03,OPM declining for 3 consecutive years,85
AXISBANK,con,C08,D/E rising for 3 consecutive years,85
AXISBANK,con,C09,EPS declining for 3 consecutive years,85
AXISBANK,con,C10,ROCE <10%,81
AXISBANK,pro,P04,Revenue CAGR >15% over 5 years,73
AXISBANK,pro,P05,OPM >25% in the latest year,84
AXISBANK,pro,P06,PAT CAGR >20% over 5 years,95
AXISBANK,pro,P09,EPS CAGR >15% over 5 years,95
AXISBANK,pro,P10,ROE improving for 3 consecutive years,85
BAJAJ-AUTO,con,C03,OPM declining for 3 consecutive years,85
BAJAJ-AUTO,con,C05,Revenue is declining year over year,80
BAJAJ-AUTO,con,C08,D/E rising for 3 consecutive years,85
BAJAJ-AUTO,pro,P01,ROE >20% sustained for 3+ years,73
BAJAJ-AUTO,pro,P02,FCF positive for 5+ consecutive years,90
BAJAJ-AUTO,pro,P07,ICR >10 or Debt Free,95
BAJAJ-AUTO,pro,P08,Dividend Yield >2% with positive FCF,79
BAJAJ-AUTO,pro,P10,ROE improving for 3 consecutive years,85
BAJAJ-AUTO,pro,P11,"Revenue CAGR exceeds PAT CAGR, indicating operating leverage",80
BAJAJ-AUTO,pro,P12,Assets growing while borrowings are declining,85
BAJAJFINSV,con,C02,FCF negative for 3 consecutive years,90
BAJAJFINSV,con,C03,OPM declining for 3 consecutive years,85
BAJAJFINSV,con,C05,Revenue is declining year over year,80
BAJAJFINSV,con,C08,D/E rising for 3 consecutive years,85
BAJAJFINSV,pro,P01,ROE >20% sustained for 3+ years,73
BAJAJFINSV,pro,P04,Revenue CAGR >15% over 5 years,84
BAJAJFINSV,pro,P05,OPM >25% in the latest year,83
BAJAJFINSV,pro,P06,PAT CAGR >20% over 5 years,76
BAJAJFINSV,pro,P09,EPS CAGR >15% over 5 years,80
BAJAJFINSV,pro,P10,ROE improving for 3 consecutive years,85
BAJAJHLDNG,con,C03,OPM declining for 3 consecutive years,85
BAJAJHLDNG,con,C05,Revenue is declining year over year,80
BAJAJHLDNG,con,C11,Net Debt >3x EBITDA,87
BAJAJHLDNG,pro,P04,Revenue CAGR >15% over 5 years,95
BAJAJHLDNG,pro,P05,OPM >25% in the latest year,95
BAJAJHLDNG,pro,P07,ICR >10 or Debt Free,95
BAJAJHLDNG,pro,P08,Dividend Yield >2% with positive FCF,77
BAJAJHLDNG,pro,P09,EPS CAGR >15% over 5 years,77
BAJAJHLDNG,pro,P10,ROE improving for 3 consecutive years,85
BAJAJHLDNG,pro,P11,"Revenue CAGR exceeds PAT CAGR, indicating operating leverage",80
BAJAJHLDNG,pro,P12,Assets growing while borrowings are declining,85
BAJFINANCE,con,C02,FCF negative for 3 consecutive years,90
BAJFINANCE,con,C03,OPM declining for 3 consecutive years,85
BAJFINANCE,con,C08,D/E rising for 3 consecutive years,85
BAJFINANCE,pro,P04,Revenue CAGR >15% over 5 years,89
BAJFINANCE,pro,P05,OPM >25% in the latest year,76
BAJFINANCE,pro,P06,PAT CAGR >20% over 5 years,83
BAJFINANCE,pro,P07,ICR >10 or Debt Free,95
